省,省代码,年份,CO2排放量_吨
吉林省,220000,1985,40406595.71
江苏省,320000,1985,126848225.1
江西省,360000,1985,43731456.57
辽宁省,210000,1985,103304489.6
内蒙古自治区,150000,1985,67083188.96
宁夏回族自治区,640000,1985,16110925.58
青海省,630000,1985,11364378.58
山东省,370000,1985,235034015.9
山西省,140000,1985,75898995.3
陕西省,610000,1985,55551308.36
上海市,310000,1985,33981720.54
四川省,510000,1985,68126217.47
台湾省,710000,1985,71091815.58
天津市,120000,1985,19726010.19
西藏自治区,540000,1985,5835014.49
香港特别行政区,810000,1985,18028833.96
新疆维吾尔自治区,650000,1985,45854181.79
云南省,530000,1985,36342973.6
浙江省,330000,1985,46689839.9
重庆市,500000,1985,23502518.39
安徽省,340000,1986,85123849.57
澳门特别行政区,820000,1986,622804.1142
北京市,110000,1986,26603375.94
福建省,350000,1986,37080706.98
甘肃省,620000,1986,41787922.96
广东省,440000,1986,69449003.87
广西壮族自治区,450000,1986,54138378.45
贵州省,520000,1986,30581404.62
海南省,460000,1986,8823239.902
河北省,130000,1986,135290088.4
河南省,410000,1986,145653801.4
黑龙江省,230000,1986,73873592.99
湖北省,420000,1986,92233803.35
湖南省,430000,1986,59267053.89
吉林省,220000,1986,41654379.96
江苏省,320000,1986,134820212.7
江西省,360000,1986,47621157.68
辽宁省,210000,1986,108260359
内蒙古自治区,150000,1986,68794123.09
宁夏回族自治区,640000,1986,18312498.69
青海省,630000,1986,11892950.58
山东省,370000,1986,245037250.3
山西省,140000,1986,81092739.54
陕西省,610000,1986,58644962.66
上海市,310000,1986,36146869.97
四川省,510000,1986,71117719.1
台湾省,710000,1986,79274452.66
天津市,120000,1986,22271162.46
西藏自治区,540000,1986,6262016.489
香港特别行政区,810000,1986,20536067.15
新疆维吾尔自治区,650000,1986,48308748.23
云南省,530000,1986,38363001.96
浙江省,330000,1986,49329849.38
重庆市,500000,1986,29678234.1
安徽省,340000,1987,90215831.41
澳门特别行政区,820000,1987,699266.8054
北京市,110000,1987,28049459.28
福建省,350000,1987,39932843.32
甘肃省,620000,1987,43496575.84
广东省,440000,1987,80243884.56
广西壮族自治区,450000,1987,57311892.08
贵州省,520000,1987,31657746.79
海南省,460000,1987,9360995.535
河北省,130000,1987,142639044.4
河南省,410000,1987,152544767.1
黑龙江省,230000,1987,81443176.46
湖北省,420000,1987,97436817.4
湖南省,430000,1987,62100380.43
吉林省,220000,1987,45070780.76
江苏省,320000,1987,151783037
江西省,360000,1987,49871900.14
辽宁省,210000,1987,114712974.2
内蒙古自治区,150000,1987,72264765.36
宁夏回族自治区,640000,1987,19919465.04
青海省,630000,1987,12316962.62
山东省,370000,1987,263289029.8
山西省,140000,1987,86733023.91
陕西省,610000,1987,60771526.44
上海市,310000,1987,38527911.03
四川省,510000,1987,73818204.79
台湾省,710000,1987,83401370.06
天津市,120000,1987,23399263.54
西藏自治区,540000,1987,6576935.685
香港特别行政区,810000,1987,20620615.88
新疆维吾尔自治区,650000,1987,50743160.24
云南省,530000,1987,41127751.64
浙江省,330000,1987,54812461.27
重庆市,500000,1987,31107069.15
安徽省,340000,1988,94458525.89
澳门特别行政区,820000,1988,716678.6698
北京市,110000,1988,30617960.59
福建省,350000,1988,48427851.97
甘肃省,620000,1988,45513783.48
广东省,440000,1988,89525814.37
广西壮族自治区,450000,1988,61071315.54
贵州省,520000,1988,34846539.13
海南省,460000,1988,10086367.52
河北省,130000,1988,154495453.6
河南省,410000,1988,159954836.4
黑龙江省,230000,1988,87336795.85
湖北省,420000,1988,100481622.6
湖南省,430000,1988,66988202.28
吉林省,220000,1988,48537590.26
江苏省,320000,1988,166546809
江西省,360000,1988,54111493.62
辽宁省,210000,1988,123077806.5
内蒙古自治区,150000,1988,75442184.37
宁夏回族自治区,640000,1988,20996644.57
青海省,630000,1988,13135747.69
山东省,370000,1988,283823613.9
山西省,140000,1988,92321436.46
陕西省,610000,1988,63837885.35
上海市,310000,1988,41177917.09
四川省,510000,1988,79279061.72
台湾省,710000,1988,97065133.89
天津市,120000,1988,24123486.23
西藏自治区,540000,1988,7031645.278
香港特别行政区,810000,1988,23135821.96
新疆维吾尔自治区,650000,1988,53552219.14
云南省,530000,1988,44884007.39
浙江省,330000,1988,60400909.32
重庆市,500000,1988,32572616.61
安徽省,340000,1989,101500998.2
澳门特别行政区,820000,1989,724421.6293
北京市,110000,1989,32635641.13
福建省,350000,1989,48761396.34
甘肃省,620000,1989,48824124.75
广东省,440000,1989,94952898.78
广西壮族自治区,450000,1989,62563097.33
贵州省,520000,1989,36564675.95
海南省,460000,1989,10933694.48
河北省,130000,1989,157175344.7
河南省,410000,1989,162777810
黑龙江省,230000,1989,92785534.01
湖北省,420000,1989,103965875.6
湖南省,430000,1989,69301819.77
吉林省,220000,1989,50859871.14
江苏省,320000,1989,175025516.4
江西省,360000,1989,54319699.61
辽宁省,210000,1989,125723852.9
内蒙古自治区,150000,1989,78848154.38
宁夏回族自治区,640000,1989,21416800.88
青海省,630000,1989,13484629.39
山东省,370000,1989,287706077.3
山西省,140000,1989,95382723.7
陕西省,610000,1989,64286527.8
上海市,310000,1989,45178179.65
四川省,510000,1989,81608294.67
台湾省,710000,1989,103952276.4
天津市,120000,1989,26181351.11
西藏自治区,540000,1989,7200557.298
香港特别行政区,810000,1989,23490165.52
新疆维吾尔自治区,650000,1989,54459728.08
云南省,530000,1989,45721740.14
浙江省,330000,1989,62973826.26
重庆市,500000,1989,32899542.76
安徽省,340000,1990,103191306.9
澳门特别行政区,820000,1990,742026.7859
北京市,110000,1990,31971743.49
福建省,350000,1990,48530649.88
甘肃省,620000,1990,50209680.55
广东省,440000,1990,97847976.05
广西壮族自治区,450000,1990,64553508.96
贵州省,520000,1990,38184511.86
海南省,460000,1990,13155650.92
河北省,130000,1990,159130622.8
河南省,410000,1990,164146304
黑龙江省,230000,1990,92192504.48
湖北省,420000,1990,103204534.6
湖南省,430000,1990,71086157.13
吉林省,220000,1990,49883609.11
江苏省,320000,1990,173927081.9
江西省,360000,1990,54808856.28
辽宁省,210000,1990,124554398.8
内蒙古自治区,150000,1990,87308687.34
宁夏回族自治区,640000,1990,21174829.21
青海省,630000,1990,13967953.9
山东省,370000,1990,291335074.4
山西省,140000,1990,110285621.6
陕西省,610000,1990,64726564.37
上海市,310000,1990,43601090.07
四川省,510000,1990,86058746.11
台湾省,710000,1990,107130642.9
天津市,120000,1990,24499965.91
西藏自治区,540000,1990,7341557.7
香港特别行政区,810000,1990,23666896.6
新疆维吾尔自治区,650000,1990,51213640.65
云南省,530000,1990,47323755.5
浙江省,330000,1990,64370538.23
重庆市,500000,1990,33103503.3
安徽省,340000,1991,106500459.9
澳门特别行政区,820000,1991,776722.0051
北京市,110000,1991,32518682.14
福建省,350000,1991,50034168.24
甘肃省,620000,1991,52732185.56
广东省,440000,1991,103110839.9
广西壮族自治区,450000,1991,66763713.41
贵州省,520000,1991,39848512.63
海南省,460000,1991,13517609.59
河北省,130000,1991,171633097.9
河南省,410000,1991,171742384.7
黑龙江省,230000,1991,96907106.08
湖北省,420000,1991,112933542.3
湖南省,430000,1991,72917245.98
吉林省,220000,1991,53541257.84
江苏省,320000,1991,183061520.6
江西省,360000,1991,57370160.19
辽宁省,210000,1991,134446060.6
内蒙古自治区,150000,1991,88624746.85
宁夏回族自治区,640000,1991,24198728.58
青海省,630000,1991,14374237.41
山东省,370000,1991,299630544.7
山西省,140000,1991,117110189.1
陕西省,610000,1991,68160013.73
上海市,310000,1991,49304053.43
四川省,510000,1991,90270711.16
台湾省,710000,1991,114021091.2
天津市,120000,1991,27832848.48
西藏自治区,540000,1991,7588063.348
香港特别行政区,810000,1991,25737148.11
新疆维吾尔自治区,650000,1991,53149067.39
云南省,530000,1991,48573457.43
浙江省,330000,1991,72716741.6
重庆市,500000,1991,36833730.77
安徽省,340000,1992,113045265.4
澳门特别行政区,820000,1992,860426.4547
北京市,110000,1992,32392197.63
福建省,350000,1992,51711016.32
甘肃省,620000,1992,55162938.23
广东省,440000,1992,109593747.2
广西壮族自治区,450000,1992,69586469.59
贵州省,520000,1992,40390751.17
海南省,460000,1992,13957186.52
河北省,130000,1992,178848659.4
河南省,410000,1992,179071500.9
黑龙江省,230000,1992,99809124.27
湖北省,420000,1992,117226153.3
湖南省,430000,1992,77519948.74
吉林省,220000,1992,55182099.87
江苏省,320000,1992,190729403.5
江西省,360000,1992,60415504.87
辽宁省,210000,1992,133301072.1
内蒙古自治区,150000,1992,91667862.34
宁夏回族自治区,640000,1992,27188190.15
青海省,630000,1992,15191946.32
山东省,370000,1992,308666380.6
山西省,140000,1992,124312928
陕西省,610000,1992,70764762.23
上海市,310000,1992,52210361.41
四川省,510000,1992,89970174.69
台湾省,710000,1992,118408093.9
天津市,120000,1992,32138238.6
西藏自治区,540000,1992,7909618.458
香港特别行政区,810000,1992,29901670.49
新疆维吾尔自治区,650000,1992,57441489.24
云南省,530000,1992,53098286.31
浙江省,330000,1992,77525224.62
重庆市,500000,1992,40906259.9
安徽省,340000,1993,121956182.7
澳门特别行政区,820000,1993,946884.5231
北京市,110000,1993,33646751.65
福建省,350000,1993,56152416.46
甘肃省,620000,1993,56529005.74
广东省,440000,1993,131979184.4
广西壮族自治区,450000,1993,73759581.76
贵州省,520000,1993,43267215.53
海南省,460000,1993,14904656.76
河北省,130000,1993,196820338.4
河南省,410000,1993,191456234.6
黑龙江省,230000,1993,102048509.6
