co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance
551722950.7,63757.3,5493,5053,0.039,0.111,0.02,0.123,0.059,0.049,0.776
552862327.2,69593.4,5926,6277,0.04,0.112,0.022,0.1,0.057,0.05,0.729
546155407.9,75820.8,8161,9119,0.04,0.124,0.021,0.126,0.062,0.052,0.749
548850883.3,83493.4,12767,12327,0.039,0.125,0.021,0.115,0.064,0.057,0.683
550385185.1,93004.8,17502,18834,0.039,0.126,0.019,0.18,0.065,0.058,0.605
571610771.8,101875.9,22807,21962,0.042,0.137,0.02,0.199,0.073,0.064,0.587
578728114.7,110468.1,21191,25154,0.041,0.133,0.019,0.269,0.069,0.062,0.547
600455997.4,113708.9,22988,31283,0.049,0.148,0.02,0.166,0.076,0.065,0.548
640688595.7,127577.4,25518,26552,0.048,0.143,0.019,0.172,0.074,0.061,0.517
634197577.8,132547.1,25260,23173,0.049,0.139,0.019,0.17,0.074,0.06,0.457
690722545.8,137905.4,26996,21662,0.049,0.137,0.02,0.167,0.073,0.061,0.396
94638537.65,2096.7,22,41,0.02,0.065,0.213,0.008,0.033,0.031,9.822
99131711.52,2302.8,25,33,0.023,0.074,0.301,0.008,0.038,0.036,9.386
104441868.3,2552.8,37,48,0.026,0.072,0.211,0.011,0.036,0.035,9.932
119919257.2,2833.6,37,44,0.027,0.076,0.217,0.01,0.039,0.035,9.751
147368503.6,3348.9,38,59,0.028,0.083,0.223,0.013,0.044,0.038,7.77
