PKU_sum,PKU_wide,PKU_deep,PKU_Pay,bad_loan,insurance_density,insurance_pi,bank_card_pop,debit_card_pop,ATM_area,fin_sub_pop_area,SME_loanshare_assetshare,ag_loanshare_gdpshare
75.87000000000001,49.87,89.92,79.69,-.78,431.2,-.36813766,2.0161049,1.8854915,.057666752,.071685508,.54061133,2.8622801
121.22,89.59,125.46,100.53,-.69,518.6,-.39864507,2.3915782,2.2388003,.072166748,.075364277,.46247092,3.0584025
154.62,139.9,114.08,126.53,-.97,607.3,-.4210034,2.7966886,2.6197805,.085337177,.07852459,.43392193,2.8207192
193.29,160.98,132.74,155.83,-1.6,730.4,-.4150559,3.0646355,2.911247,.12028253,.081425108,.36570522,2.5415595
24.91,7.47,48.39,55.11,-1.14,524,-.33139446,1.4617602,1.3311737,.025842143,.028357908,.72880846,2.1401031
84.43000000000001,52.78,111.96,75.43000000000001,-.69,585.8,-.36896643,1.74113,1.5908189,.032174941,.028687449,.72058225,2.1609883
137.9,95.59,153.55,97.13,-.5600000000000001,685.3,-.38064143,2.0639255,1.8875694,.040682171,.029197045,.6445424,2.2042301
164.05,147.22,144.3,134.42,-.94,799.9,-.40134236,2.4035444,2.1996374,.048106667,.029822346,.65251219,2.1854026
203.76,167.96,158.79,168.47,-2.18,917,-.39806715,2.6343451,2.4448433,.067806229,.030615091,.59331554,2.2252417
16.22,3.37,30.16,0,-1.95,253,-.4343003,.89207631,.85219151,.00073764106,.017302912,.19755767,1.5661944
68.53,32.86,71.06999999999999,16.85,-.7,309.7,-.42989403,1.0540267,1.0102242,.00091840513,.017195104,.16311869,1.1689892
115.1,74.09,112.84,63.75,-.45,366.3,-.48989955,1.239036,1.1886922,.0011491104,.01804431,.10468008,1.3408916
143.91,126.67,108.76,113.51,-.23,402.5,-.47821662,1.4261416,1.3691096,.001358823,.017731212,.045153607,1.84279
186.38,139.87,157.75,168.77,-.23,535.8,-.46666917,1.54118,1.5004044,.0019152577,.01712312,.067547366,2.0354872
40.96,37.81,29.74,34.44,-1.1,920.8,-.25165761,2.2074676,2.0214314,.04692864,.083761238,.64543271,2.1488624
98.24,83.62000000000001,98.61,58.38,-.77,973.4,-.28577113,2.6379743,2.423629,.058428828,.084369391,.68040514,2.3316483
148.37,123.6,145.94,78.61,-.6800000000000001,1109.3,-.35381317,3.1366966,2.8846126,.073106326,.085669205,.62614107,2.8789072
178.73,173.25,139,122.05,-1.08,1263,-.37692595,3.6630037,3.3708727,.086448237,.086943045,.63191926,2.8315706
216.12,194.92,157.95,162.76,-1.99,1509.4,-.33889517,4.0194688,3.7510519,.12184857,.090995133,.56365001,2.784445
18.84,4.99,12.76,10.82,-1.19,549.6,-.27106231,1.8523751,1.7253547,.012112079,.03855199,.89280868,2.6657267
76.29000000000001,54.72,68.98,36.32,-.72,616,-.3035886,2.2083292,2.0636888,.015080228,.037907802,.7691195,2.6556313
128.39,96.77,114.2,69.51000000000001,-.55,692.9,-.37246373,2.6285267,2.4587374,.020254668,.041682072,.68807799,2.8308434
159.76,148.1,107.29,111.91,-.47,804.6,-.40491712,3.0686615,2.8723593,.023951145,.042620633,.62966329,2.8384469
199.78,169.67,125.25,142.62,-1.13,988.2000000000001,-.36124676,3.3718228,3.2006185,.03375908,.043768432,.49077156,2.7342556
18.33,1.96,6.76,0,-1.93,491,-.28681254,1.7953466,1.6731683,.002027292,.024825146,.4617644,3.9925652
61.47,47.12,51.85,16.33,-1.32,565.3,-.33641192,2.1327252,1.9941471,.002524094,.025046287,.53828353,3.768806
118.01,88.18000000000001,113.42,63.67,-1.08,676,-.39215201,2.5227623,2.3611195,.0032526115,.026408985,.4470661,3.8928037
145.93,139.24,108.4,109.16,-1,791,-.39054826,2.9264808,2.7407999,.0038462132,.027335135,.42607892,3.8246565
195.15,159.59,136.5,143.26,-1.9,957,-.35526904,3.1990097,3.0382717,.0054212278,.026736479,.38365108,4.1208792
31.31,32.27,23.16,15.68,-1.06,860.7000000000001,-.26745361,2.2648802,2.0337856,.036873776,.34194225,.77181542,3.6443865
87.13,76.78,90.34,40.51,-.75,968.6,-.31903893,2.6817098,2.4160318,.045909952,.34796461,.78050709,3.9520779
136.74,115.08,129.02,44.5,-.84,1111.3,-.33011085,3.1634986,2.8528433,.04494543,.27648464,.69617957,4.4026561
165.26,167.18,114.28,111.45,-1.2,1268.6,-.34915024,3.6643426,3.3067119,.053147972,.28069773,.66474491,4.4751339
214.7,190.35,134.87,149.39,-1.58,925.5,-.32909095,4.0016317,3.6619871,.074911937,.32989657,.57902026,4.0079355
20.34,12.92,23.6,21.47,-1.04,925.5,-.28229681,2.0636561,1.9201343,.0037256561,.009443013,1.0667913,2.6877606
82.45,60.88,85.14,46.28,-1.12,1055,-.3396157,2.4463682,2.2837424,.0046386537,.0089802546,.9275282,2.6282105
143.4,101.44,146.39,76.03,-.8,1207.83,-.39124468,2.876483,2.6878586,.0058039012,.0093918517,.84353036,2.6626058
163.67,151.28,134.87,133.48,-.84,1381,-.38121048,3.3192315,3.103646,.0068631135,.0095736524,.81347865,2.6846948
205.49,172.01,148.6,165.46,-1,1557,-.37285528,3.5644906,3.3799596,.0096735414,.0094596613,.72451603,2.5513744
