地区,所属地域,id,年份,规模以上工业企业平均用工人数（万人）,规模以上工业企业固定资产净值（亿元）,能源投入（万吨标准煤）,工业增加值(亿元),工业废水排放量（万吨）,工业固体废弃物排放量（万吨）,,GML指数,工业绿色全要素生产率
宁夏,西部,29,2005,25.58,580.27,2536,214.4,21411,19.2,,0.940348433,1.228581298
新疆,西部,30,2005,46.7,1728.52,5506,962.3,20052,32.3,,1.197936187,1.610609474
北京,东部,1,2006,117.36,3762.49,5904,1713.8,10170,4.5,,1.01011849,1.416016614
天津,东部,2,2006,116.33,2807.39,4500,1644.6,22978,7.7,,1.080613986,1.717681565
河北,东部,3,2006,303.35,5520.14,21794,4239.5,130340,119.9,,1.030713819,1.335610893
山西,中部,4,2006,220.59,4510.78,14098,2578.9,44091,148.8,,1.008693597,1.687739466
内蒙古,西部,5,2006,90.72,3092.2,11221,1395.8,27823,75.8,,1.108426123,1.295423744
辽宁,东部,6,2006,302.02,6453.31,14987,3643.6,94724,87.6,,1.05537951,1.25280819
吉林,中部,7,2006,105.21,2540.13,5908,904.4,39321,45.6,,0.995188527,1.192620036
黑龙江,中部,8,2006,140.31,3067.09,8731,2890.2,44801,56.8,,1.046976539,1.633408522
上海,东部,9,2006,266.84,6709.89,8876,4621.2,48336,5.7,,1.077485165,1.516226679
江苏,东部,10,2006,774.5,12284.59,19041,10812,287181,70.4,,1.037118903,1.278812131
浙江,东部,11,2006,726.94,8817.64,13219,7419,199593,41.5,,1.060752253,0.998304264
安徽,中部,12,2006,164.81,2977.65,7069,2031.2,70119,66.2,,1.047192771,1.523692509
福建,东部,13,2006,324.89,3267.59,6828,3189.5,127583,28.5,,1.020374178,1.104613205
江西,中部,14,2006,125.8,1690.82,4660,1923,64074,56,,1.157770768,2.102180431
山东,东部,15,2006,788.11,12000.95,26759,9467.5,144365,74.1,,1.053594453,1.179697255
河南,中部,16,2006,365.28,5551.16,16232,5584.8,130158,128.9,,1.086009412,1.567235478
湖北,中部,17,2006,190.85,5069.01,11049,2863.5,91146,59.5,,1.096318801,1.422280067
湖南,中部,18,2006,178.15,2751.26,10581,2547.4,100024,115,,1.079559549,1.346249185
广东,东部,19,2006,1203.58,12133.5,19971,12259.4,234713,55,,1.040436478,1.324290167
广西,西部,20,2006,91.37,1751.04,5390,1343.2,128932,90.8,,1.113585783,1.427139114
海南,东部,21,2006,12.2,549.14,920,221.3,7351,2,,1.141169571,1.725929103
重庆,西部,22,2006,96.1,1528.28,5368,1573.1,86496,33.2,,1.074329758,1.540433284
四川,西部,23,2006,233.53,4115.03,12986,3059.5,115348,80.3,,1.121062053,1.630006637
贵州,西部,24,2006,67.23,1788.09,6172,807,13928,33.8,,1.055018995,1.411266512
云南,西部,25,2006,71.55,1988.92,6621,1387.8,34286,30.8,,1.042035278,1.328303279
陕西,西部,26,2006,122.53,3050.44,6129,1944,40479,57.6,,1.15070037,1.753592909
甘肃,西部,27,2006,68.93,1716.69,4743,818.3,16570,27.5,,1.085980174,1.791082338
青海,西部,28,2006,14.64,860.4,1903,166.2,7168,14.1,,1.127357239,2.08434361
宁夏,西部,29,2006,24.64,685,2830,268.6,18500,18.5,,1.131312209,1.389909023
新疆,西部,30,2006,47.93,2073.43,6047,1242.6,20558,36.3,,1.159839597,1.868048644
北京,东部,1,2007,119.25,4541.29,6285,1989.1,9134.251,3.984,,1.070705803,1.516137206
天津,东部,2,2007,120.76,3205.59,4943,1888.6,21444.35,7.215,,1.048164981,1.800413666
河北,东部,3,2007,303.21,6302.02,23585,5267.4,123537.263,99.628,,1.135354923,1.516392402
山西,中部,4,2007,216.34,5413.94,15601,3350.9,41140.309,131.384,,1.16487162,1.965999807
内蒙古,西部,5,2007,93.28,3842.32,12777,1737.8,25020.842,70.445,,1.092310415,1.415004847
