省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人
36,江西省,2006,4339.13,1678.37,2660.75
36,江西省,2007,4368.41,1738.63,2629.78
36,江西省,2008,4400.1,1819.88,2580.22
36,江西省,2009,4432.16,1913.81,2518.35
36,江西省,2010,4462.25,1966.07,2496.18
36,江西省,2011,4474,2051.22,2437.22
36,江西省,2012,4475,2139.82,2364.11
36,江西省,2013,4476,2209.97,2312.18
36,江西省,2014,4480,2281.07,2261.09
36,江西省,2015,4485,2356.78,2208.85
36,江西省,2016,4496,2438.35,2153.65
36,江西省,2017,4511,2523.61,2098.39
36,江西省,2018,4513,2603.81,2044.19
36,江西省,2019,4516,2679,1987
36,江西省,2020,4519.45,2731.55,1787.89
36,江西省,2021,4517,2776,1741
36,江西省,2022,4528,2811,1717
36,江西省,2023,4515,2850,1665
36,江西省,2024,4502,2870.93,1631.08
37,山东省,2000,8998,,
37,山东省,2001,9041,,
37,山东省,2002,9082,,
37,山东省,2003,9125,,
37,山东省,2004,9180,,
37,山东省,2005,9248.18,4161.68,5086.5
37,山东省,2006,9308.9,4291.4,5017.5
37,山东省,2007,9366.97,4379.06,4987.91
37,山东省,2008,9417.23,4482.6,4934.63
37,山东省,2009,9470.3,4576.05,4894.25
37,山东省,2010,9587.87,4765.17,4822.7
37,山东省,2011,9665,4910.19,4727.08
37,山东省,2012,9708,5077.78,4607.09
37,山东省,2013,9746,5231.7,4501.69
37,山东省,2014,9808,5385.17,4404.26
37,山东省,2015,9866,5613.87,4233.29
37,山东省,2016,9973,5870.72,4076.28
37,山东省,2017,10033,6061.53,3944.3
37,山东省,2018,10077,6146.75,3900.25
37,山东省,2019,10106,6194,3876
37,山东省,2020,10164.51,6408.72,3755.79
37,山东省,2021,10170,6503,3667
37,山东省,2022,10163,6559,3604
37,山东省,2023,10123,6634,3489
37,山东省,2024,10080,6703.39,3376.78
41,河南省,2000,9488,,
41,河南省,2001,9555,,
41,河南省,2002,9613,,
41,河南省,2003,9667,,
41,河南省,2004,9717,,
41,河南省,2005,9380,2874.97,6505.03
41,河南省,2006,9392,3049.58,6342.42
41,河南省,2007,9360,3214.22,6145.78
41,河南省,2008,9429,3397.27,6031.73
41,河南省,2009,9487.05,3576.62,5910.43
41,河南省,2010,9405.47,3621.11,5784.36
41,河南省,2011,9461,3808.81,5579.43
41,河南省,2012,9532,3991.05,5415.15
41,河南省,2013,9573,4123.05,5290.3
41,河南省,2014,9645,4265.07,5170.93
41,河南省,2015,9701,4441.38,5038.62
41,河南省,2016,9778,4623.02,4908.98
41,河南省,2017,9829,4794.86,4764.27
41,河南省,2018,9864,4966.75,4638.25
41,河南省,2019,9901,5129,4511
41,河南省,2020,9941.17,5510.39,4430.78
41,河南省,2021,9883,5579,4304
41,河南省,2022,9872,5633,4239
41,河南省,2023,9815,5701,4114
41,河南省,2024,9785,5795,3990
42,湖北省,2000,5646,,
42,湖北省,2001,5658,,
42,湖北省,2002,5672,,
42,湖北省,2003,5685,,
42,湖北省,2004,5698,,
42,湖北省,2005,5710,2466.72,3243.28
42,湖北省,2006,5693,2493.53,3199.47
42,湖北省,2007,5699,2524.66,3174.34
42,湖北省,2008,5711,2581.37,3129.63
42,湖北省,2009,5720,2631.2,3088.8
42,湖北省,2010,5727.91,2846.77,2881.14
42,湖北省,2011,5760,2984.37,2773.63
42,湖北省,2012,5781,3091.76,2687.24
42,湖北省,2013,5798,3161.03,2637.97
42,湖北省,2014,5816,3237.77,2578.23
42,湖北省,2015,5850,3326.58,2524.92
