uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg
3608,17,Jiangxi,2008,158460288,7028.7002,3518.8,100,117,.032000002,.097000003,.138,.0060000001,.050000001,.046,2.598,.28099999,0,8.8577566,18.881014,-.46705806,-.47206795,-.52278459,-.49848512,-.25364676,-.9943136,-.49736974,-.32224753,-.28573143,-.40465125,-.62931681,-.39100301,.62914968,4400.1001,1819.88,.4135997,31.8377,.026310561,0,-13,0,0,0,0,0,0,0,0,.50063312
3609,17,Jiangxi,2009,176529456,7733,3882.7,120,162,.035999998,.103,.145,.016000001,.050999999,.050999999,2.4649999,.29100001,0,8.9532518,18.988998,-.46219403,-.46123067,-.032921158,-.246619,-.23933576,-.69114184,-.41675046,.13564421,-.30715349,-.054926973,-.6337465,-.3479639,.64387065,4432.1602,1913.8101,.43180075,43.141899,.027613038,0,-12,0,0,0,0,0,0,0,0,.50209492
3610,17,Jiangxi,2010,184656624,9503.4004,5083.1001,168,221,.034000002,.101,.13,.016000001,.052000001,.046,2.2869999,.185,0,9.1594048,19.034008,-.45052037,-.44702178,-.27785265,-.33057427,-.27000222,-.69114184,-.33613086,-.32224753,-.33582357,-.26344624,-.5660218,-.41406077,.5540331,4462.25,1966.0699,.4406006,49.141102,.025550896,0,-11,0,0,0,0,0,0,0,0,.5348717
3611,17,Jiangxi,2011,203036480,11717.4,6338,213,261,.034000002,.104,.102,.016000001,.056000002,.050000001,2.0050001,.171,0,9.3688307,19.128897,-.4395763,-.43738866,-.27785265,-.20464122,-.32724625,-.69114184,-.01365316,.044065997,-.38124469,-.04119819,-.6301412,-.43316761,.56422484,4474,2051.22,.45847565,43.759998,.017265052,0,-10,0,0,0,0,0,0,0,0,.54090494
3612,17,Jiangxi,2012,209492688,12952.8,6893.2998,249,406,.035999998,.108,.113,.022,.054000001,.048999999,1.732,.16,0,9.4690676,19.1602,-.43082106,-.40246856,-.032921158,-.036730379,-.30475754,-.50923884,-.17489201,-.047512557,-.42521626,-.0072423839,-.56864214,-.44152266,.55364132,4475,2139.8201,.47817206,66.912903,.022162281,0,-9,0,0,0,0,0,0,0,0,.53218609
3613,17,Jiangxi,2013,213709040,14473.4,7661.8999,263,374,.035,.112,.104,.027000001,.056000002,.048,1.507,.12899999,0,9.5800676,19.180126,-.42741624,-.41017506,-.15538691,.13118047,-.3231574,-.35765296,-.01365316,-.13909078,-.46145654,.015857244,-.5358817,-.47692001,.51092672,4476,2209.97,.4937377,74.165199,.021371402,0,-8,0,0,0,0,0,0,0,0,.529378
3614,17,Jiangxi,2014,211874320,15858.6,8238.7002,395,686,.041000001,.114,.085000001,.028000001,.059999999,.050000001,1.487,.208,0,9.6714668,19.171503,-.39531365,-.33503661,.57940894,.21513572,-.36200157,-.32733577,.30882424,.044065997,-.4646779,.37348714,-.58533764,-.43055099,.51772237,4480,2281.0701,.50916743,68.127701,.017546469,0,-7,0,0,0,0,0,0,0,0,.51950997
3615,17,Jiangxi,2015,212141056,17031.1,8367.7002,569,1128,.039000001,.115,.096000001,.037,.061999999,.052999999,1.619,.189,0,9.7427959,19.172762,-.35299662,-.22859047,.33447701,.25711352,-.33951285,-.054481249,.47006309,.31880099,-.44341692,.41393209,-.44895664,-.40291244,.5192095,4485,2356.78,.52548051,87.43,.01981394,0,-6,0,0,0,0,0,0,0,0,.49131885
3616,17,Jiangxi,2016,214928064,18761.199,8732.5,794,1567,.043000001,.125,.093999997,.050000001,.064999998,.057,1.456,.29499999,0,9.8395462,19.185814,-.29827631,-.12286682,.82434088,.67689043,-.3436017,.33964199,.71192122,.6851145,-.46967098,.80817771,-.37807009,-.35878709,.49823555,4496,2438.3501,.54233766,117.88,.025529519,0,-5,0,0,0,0,0,0,0,0,.46545532
3617,17,Jiangxi,2017,215656928,20497.6,9444.5996,1135,2227,.039000001,.122,.078000002,.048,.063000001,.059,1.15,.168,1,9.9280634,19.189199,-.21534465,.03607991,.33447701,.55095738,-.37631258,.27900764,.55068266,.86827129,-.51895779,.61196864,-.24504814,-.41335058,.48244315,4511,2523.6101,.55943471,143.39999,.028054552,0,-4,0,0,0,0,0,0,0,0,.46076614
