year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
2014,甘肃,6836.82,2541.4935,73.2115,0.028806487
2014,青海,2303.32,1347.4303,56.7286,0.042101324
2014,宁夏,2752.1,1000.4526,34.5962,0.034580549
2014,新疆,9273.46,3317.7872,70.8598,0.021357548
2015,北京,23014.59,5737.7,303.26,0.052853931
2015,天津,16538.19,3232.35,73.1,0.022615125
2015,河北,29806.11,5632.19,282.72,0.05019717
2015,山西,12766.49,3422.97,99.46,0.029056638
2015,内蒙古,17831.51,4252.96,175.25,0.041206595
2015,辽宁,28669.02,4481.61,116.79,0.026059831
2015,吉林,14063.13,3217.1,117.7,0.036585745
2015,黑龙江,15083.67,4020.66,155.52,0.038680217
2015,上海,25123.45,6191.56,104.35,0.016853588
2015,江苏,70116.38,9687.58,308.45,0.031839737
2015,浙江,42886.49,6645.98,167.89,0.025261888
2015,安徽,22005.63,5239.01,124.83,0.023827021
2015,福建,25979.82,4001.58,95.57,0.023883066
2015,江西,16723.78,4412.55,87.43,0.01981394
2015,山东,63002.33,8250.01,217.08,0.026312695
2015,河南,37002.16,6799.35,177.77,0.026145146
2015,湖北,29550.19,6132.84,145.84,0.023780174
2015,湖南,28902.21,5728.72,149,0.026009301
2015,广东,72812.55,12827.8,322.33,0.025127458
2015,广西,16803.12,4065.51,98.68,0.024272477
2015,海南,3702.76,1239.43,31.54,0.025447181
2015,重庆,15717.27,3792,140.73,0.037112342
2015,四川,30053.1,7497.51,169.31,0.022582164
2015,贵州,10502.56,3939.5,96.49,0.024492956
2015,云南,13619.17,4712.83,134.08,0.028449997
2015,西藏,1026.39,1381.46,56.83,0.041137637
2015,陕西,18021.86,4376.06,150.77,0.034453367
2015,甘肃,6790.32,2958.31,95.35,0.03223124
2015,青海,2417.05,1515.16,87.36,0.057657277
2015,宁夏,2911.77,1138.49,45.49,0.039956434
2015,新疆,9324.8,3804.87,71.51,0.018794335
2016,北京,25669.13,6406.77,363.38,0.056718128
2016,天津,17885.39,3699.43,65.63,0.017740571
2016,河北,32070.45,6049.53,262.8,0.043441391
2016,山西,13050.41,3428.86,115.54,0.033696331
2016,内蒙古,18128.1,4512.71,159.39,0.03532024
2016,辽宁,22246.9,4577.47,87.24,0.019058563
2016,吉林,14776.8,3586.09,122.14,0.034059379
2016,黑龙江,15386.09,4227.34,113.44,0.026834842
2016,上海,28178.65,6918.94,134.41,0.019426386
2016,江苏,77388.28,9981.96,285.11,0.028562527
2016,浙江,47251.36,6974.26,161.4,0.02314224
2016,安徽,24407.62,5522.95,133.64,0.024197213
2016,福建,28810.58,4275.4,130.35,0.030488375
2016,江西,18499,4617.4,117.88,0.025529519
2016,山东,68024.49,8755.21,239.28,0.027330013
2016,河南,40471.79,7453.74,195.72,0.026257959
2016,湖北,32665.38,6422.98,145.64,0.022674833
2016,湖南,31551.37,6339.16,170.85,0.02695152
2016,广东,80854.91,13446.09,297.45,0.022121673
2016,广西,18317.64,4441.7,90.7,0.020420109
2016,海南,4053.2,1376.48,37.31,0.02710537
2016,重庆,17740.59,4001.81,136.2,0.034034599
2016,四川,32934.54,8008.89,166.35,0.020770669
2016,贵州,11776.73,4262.36,127.09,0.029816815
2016,云南,14788.42,5018.86,150.13,0.029913168
2016,西藏,1151.41,1587.98,33.05,0.020812605
2016,陕西,19399.59,4389.37,126.79,0.028885694
2016,甘肃,7200.37,3150.03,95.25,0.030237807
2016,青海,2572.49,1524.8,73.41,0.048144019
2016,宁夏,3168.59,1254.54,36.69,0.029245779
2016,新疆,9649.7,4138.25,65.07,0.015724038
2017,北京,28014.94,6824.53,458.44,0.067175322
2017,天津,18549.19,3282.54,110.22,0.033577656
2017,河北,34016.32,6639.18,353.45,0.053236996
2017,山西,15528.42,3756.42,128.87,0.0343066
2017,内蒙古,16096.21,4529.93,143.67,0.031715722
2017,辽宁,23409.24,4879.42,106.53,0.021832513
2017,吉林,14944.53,3725.72,115.12,0.030898726
2017,黑龙江,15902.68,4641.08,193.2,0.041628242
2017,上海,30632.99,7547.62,224.66,0.029765674
2017,江苏,85869.76,10621.03,292.1,0.027502041
2017,浙江,51768.26,7530.32,190.15,0.025251251
2017,安徽,27018,6203.81,198.64,0.032019033
2017,福建,32182.09,4684.15,120.65,0.025757074
2017,江西,20006.31,5111.47,143.4,0.028054552
2017,山东,72634.15,9258.4,236.84,0.025581094
2017,河南,44552.83,8215.52,241.65,0.029413841
2017,湖北,35478.09,6801.26,139.71,0.020541782
2017,湖南,33902.96,6869.39,173.28,0.025224947
2017,广东,89705.23,15037.48,433.23,0.028810013
2017,广西,18523.26,4908.55,85.11,0.017339133
2017,海南,4462.54,1443.97,35.72,0.024737356
2017,重庆,19424.73,4336.28,154.95,0.035733394
2017,四川,36980.22,8694.76,197.75,0.022743583
2017,贵州,13540.83,4612.52,125.39,0.027184706
2017,云南,16376.34,5712.97,179.48,0.031416234
2017,西藏,1310.92,1681.94,46.64,0.027729883
2017,陕西,21898.81,4833.19,162.52,0.033625825
2017,甘肃,7459.9,3304.44,102.2,0.030928085
2017,青海,2624.83,1530.44,60.93,0.03981208
2017,宁夏,3443.56,1372.78,57.61,0.041965938
2017,新疆,10881.96,4637.24,54.66,0.011787184
2018,北京,30319.98,7471.4332,399.45,0.053463638
2018,天津,18809.64,3103.1579,66.46,0.021416893
2018,河北,36010.27,7726.2086,433.55,0.056114198
2018,山西,16818.11,4283.9099,170.29,0.039751069
2018,内蒙古,17289.22,4831.4587,162.72,0.03367927
2018,辽宁,25315.35,5337.715,94.21,0.017649875
2018,吉林,15074.62,3789.5894,120.79,0.031874166
2018,黑龙江,16361.62,4676.7503,154.09,0.032948092
2018,上海,32679.87,8351.5376,233.39,0.027945752
2018,江苏,92595.4,11657.3521,317.99,0.027278064
2018,浙江,56197.15,8629.5256,194.75,0.022567869
2018,安徽,30006.82,6572.1484,209.32,0.031849555
2018,福建,35804.04,4832.693,124.04,0.025666849
2018,江西,21984.78,5667.5207,162.55,0.028680972
2018,山东,76469.67,10100.9606,287.2,0.028432939
2018,河南,48055.86,9217.7286,358.7,0.038914142
2018,湖北,39366.55,7258.2663,211.3,0.029111635
2018,湖南,36425.78,7479.6148,190.89,0.025521368
2018,广东,97277.77,15729.2571,567.41,0.036073541
2018,广西,20352.51,5310.741,79.45,0.014960248
2018,海南,4832.05,1691.3027,61.24,0.036208776
2018,重庆,20363.19,4540.9487,160.19,0.035276769
2018,四川,40678.13,9707.5048,226.9,0.023373669
2018,贵州,14806.45,5029.6774,134.38,0.026717419
2018,云南,17881.12,6075.0283,169.81,0.027952133
2018,西藏,1477.63,1970.6768,44.93,0.022799274
2018,陕西,24438.32,5302.443,176.02,0.033196019
2018,甘肃,8246.07,3772.233,127.82,0.033884439
2018,青海,2865.23,1647.4296,63.51,0.038550964
2018,宁夏,3705.18,1419.0592,72.38,0.051005624
